,precision,recall,f1-score,support
ambiguous,0.46252402306213963,0.18890633176347463,0.26825190414267136,3822.0
negative,0.5389260020554985,0.5447344500714193,0.5418146593477559,7701.0
neutral,0.479681914350332,0.5943771469896945,0.530905567443175,11062.0
positive,0.6894448373408769,0.6621105356991256,0.6755012775540253,11779.0
accuracy,0.5613723664299849,0.5613723664299849,0.5613723664299849,0.5613723664299849
macro avg,0.5426441942022118,0.4975321161309285,0.5041183521219068,34364.0
weighted avg,0.5629509962040058,0.5613723664299849,0.5537009779023288,34364.0
