,precision,recall,f1-score,support
ambiguous,0.35714285714285715,0.0013082155939298796,0.002606882168925964,3822.0
negative,0.6803455723542117,0.04090377873003506,0.07716805487506125,7701.0
neutral,0.36164718199267143,0.9368107033086241,0.521842032379082,11062.0
positive,0.775802752293578,0.34459631547669584,0.47722062195050263,11779.0
accuracy,0.4289954603654988,0.4289954603654988,0.4289954603654988,0.4289954603654988
macro avg,0.5437345909458295,0.3309047532773212,0.269709397843393,34364.0
weighted avg,0.5745274996848089,0.4289954603654988,0.34914541271024496,34364.0
