,precision,recall,f1-score,support
ambiguous,0.4313313733725325,0.2691299790356394,0.33145070195255766,3816.0
negative,0.48960252698078444,0.48544956283439905,0.4875172007076862,7663.0
neutral,0.437880496054115,0.5309395789665543,0.47994068704176623,10973.0
positive,0.6368965833104333,0.5917950463869266,0.613518044648372,11749.0
accuracy,0.5124411566913248,0.5124411566913248,0.5124411566913248,0.5124411566913248
macro avg,0.49892774492946634,0.46932854180587985,0.4781066585875955,34201.0
weighted avg,0.5171060882886295,0.5124411566913248,0.5109579501522464,34201.0
