,precision,recall,f1-score,support
ambiguous,0.45844044558697516,0.280398322851153,0.3479674796747968,3816.0
negative,0.4728093089527428,0.5199112155633895,0.49524283315714196,7659.0
neutral,0.45637886017826595,0.4620362774587549,0.45919014403478575,10971.0
positive,0.6099756690997566,0.6402485741040266,0.6247456078415086,11747.0
accuracy,0.5159535577457375,0.5159535577457375,0.5159535577457375,0.5159535577457375
macro avg,0.49940107095443514,0.47564859749433097,0.48178651617705825,34193.0
weighted avg,0.5130574064153351,0.5159535577457375,0.5117296080223851,34193.0
