,precision,recall,f1-score,support
ambiguous,0.41464260929909785,0.3126635269492412,0.3565035799522673,3822.0
negative,0.49953466728711027,0.5576623376623376,0.5270004909180167,7700.0
neutral,0.4905414786532454,0.5113523292627771,0.5007307675273485,11055.0
positive,0.672451766364197,0.6481827445652174,0.6600942621178709,11776.0
accuracy,0.5465315984047973,0.5465315984047973,0.5465315984047973,0.5465315984047973
macro avg,0.5192926304009127,0.5074652346098933,0.5110822751288758,34353.0
weighted avg,0.5464707314664895,0.5465315984047973,0.5452015581859279,34353.0
