,precision,recall,f1-score,support
ambiguous,0.35679752465673953,0.4827315541601256,0.4103191371066385,3822.0
negative,0.5084801400590875,0.6034281262173744,0.5519002375296912,7701.0
neutral,0.5110980737264105,0.4725185319110468,0.49105171684907695,11062.0
positive,0.7102879820901598,0.592580015281433,0.6461168194020178,11779.0
accuracy,0.5441450355022698,0.5441450355022698,0.5441450355022698,0.5441450355022698
macro avg,0.5216659301330993,0.5378145568924949,0.5248469777218561,34364.0
weighted avg,0.5616265490174204,0.5441450355022698,0.5488606558828595,34364.0
