,precision,recall,f1-score,support
ambiguous,0.38877410468319556,0.2953950811093668,0.33571216176033297,3822.0
negative,0.5289490651192779,0.5326580963511233,0.5307971014492755,7701.0
neutral,0.48447903966988654,0.4670041583800398,0.47558112773302647,11062.0
positive,0.6237540254562184,0.6906358774089482,0.6554933322589743,11779.0
accuracy,0.5392852985682691,0.5392852985682691,0.5392852985682691,0.5392852985682691
macro avg,0.5064890587321447,0.4964233033123695,0.49939593080040234,34364.0
weighted avg,0.5315399016779133,0.5392852985682691,0.5340674763173687,34364.0
