,precision,recall,f1-score,support
admiration,0.05679427850231384,0.06633906633906633,0.06119673617407071,2035.0
amusement,0.03488372093023256,0.04313099041533546,0.03857142857142857,1252.0
anger,0.03677758318739054,0.019830028328611898,0.025766871165644172,1059.0
annoyance,0.05034324942791762,0.013588634959851761,0.021400778210116732,1619.0
approval,0.11042944785276074,0.008075370121130552,0.015050167224080268,2229.0
caring,0.032520325203252036,0.016973125884016973,0.02230483271375465,707.0
confusion,0.03557312252964427,0.009027081243731194,0.014400000000000001,997.0
curiosity,0.031724137931034485,0.01970865467009426,0.024312896405919663,1167.0
desire,0.0051813471502590676,0.002257336343115124,0.0031446540880503138,443.0
disappointment,0.016260162601626018,0.0021598272138228943,0.0038131553860819836,926.0
disapproval,0.049132947976878616,0.010834926704907584,0.017754569190600523,1569.0
disgust,0.0223463687150838,0.013223140495867768,0.016614745586708203,605.0
embarrassment,0.011111111111111112,0.0031746031746031746,0.0049382716049382715,315.0
excitement,0.02262443438914027,0.008012820512820512,0.011834319526627219,624.0
fear,0.014705882352941176,0.013812154696132596,0.014245014245014245,362.0
gratitude,0.0445906432748538,0.04344729344729345,0.044011544011544015,1404.0
grief,0.0,0.0,0.0,70.0
joy,0.03046594982078853,0.01995305164319249,0.024113475177304965,852.0
love,0.02913453299057412,0.034552845528455285,0.03161320316132032,984.0
nervousness,0.0,0.0,0.0,157.0
neutral,0.320620226799352,0.6270480673486014,0.424292539507534,11047.0
optimism,0.021798365122615803,0.008519701810436636,0.01225114854517611,939.0
pride,0.0,0.0,0.0,131.0
realization,0.07142857142857142,0.001076426264800861,0.0021208907741251323,929.0
relief,0.07692307692307693,0.006535947712418301,0.012048192771084338,153.0
remorse,0.011235955056179775,0.009868421052631578,0.010507880910683012,304.0
sadness,0.02575107296137339,0.015503875968992248,0.01935483870967742,774.0
surprise,0.0189873417721519,0.008571428571428572,0.011811023622047244,700.0
accuracy,0.21549791866794749,0.21549791866794749,0.21549791866794749,0.21549791866794749
macro avg,0.04219085200039728,0.036615172158977104,0.031695470617269,34353.0
weighted avg,0.13234912896132386,0.21549791866794749,0.1521294225869307,34353.0
