,precision,recall,f1-score,support
ambiguous,0.46344925479063165,0.17085295656724228,0.24966545593576756,3822.0
negative,0.5455824863174354,0.4530580444098169,0.49503405221339386,7701.0
neutral,0.4611350293542074,0.5325438437895498,0.4942736082560725,11062.0
positive,0.5938338774029742,0.6949656167756176,0.6404318572993272,11779.0
accuracy,0.530176929344663,0.530176929344663,0.530176929344663,0.530176929344663
macro avg,0.5160001619663122,0.4628551153855567,0.46985124342614026,34364.0
weighted avg,0.5258025467229147,0.530176929344663,0.5173373329746043,34364.0
