,precision,recall,f1-score,support
ambiguous,0.31333333333333335,0.061486132914704346,0.10279965004374453,3822.0
negative,0.645224171539961,0.04298143098298922,0.08059410762113464,7701.0
neutral,0.3594494441503441,0.9207195805460133,0.5170444450085032,11062.0
positive,0.7830465799412505,0.31683504541981494,0.4511332728921124,11779.0
accuracy,0.42145850308462346,0.42145850308462346,0.42145850308462346,0.42145850308462346
macro avg,0.5252633822412223,0.33550554746588046,0.2878928688913737,34364.0
weighted avg,0.5635597358092288,0.42145850308462346,0.3505703630932896,34364.0
