,precision,recall,f1-score,support
ambiguous,0.3590040532715692,0.48665620094191525,0.41319560146617795,3822.0
negative,0.5069003285870756,0.6009609141669913,0.5499376151149664,7701.0
neutral,0.5086609575710394,0.4725185319110468,0.4899240791076952,11062.0
positive,0.7108519995908765,0.5900331097716275,0.6448320653182409,11779.0
accuracy,0.5431556279827726,0.5431556279827726,0.5431556279827726,0.5431556279827726
macro avg,0.5213543347551401,0.5375421891978952,0.5244723402517701,34364.0
weighted avg,0.5609267296555924,0.5431556279827726,0.5479373828214693,34364.0
