,precision,recall,f1-score,support
ambiguous,0.41125541125541126,0.3728414442700157,0.3911074516261836,3822.0
negative,0.5235171455050973,0.586806908193741,0.553358231800649,7701.0
neutral,0.5140503875968992,0.4795696980654493,0.496211766906744,11062.0
positive,0.6579057503975894,0.6672892435690636,0.6625642754783782,11779.0
accuracy,0.556076126178559,0.556076126178559,0.556076126178559,0.556076126178559
macro avg,0.5266821736887493,0.5266268235245675,0.5258104314529887,34364.0
weighted avg,0.5540484501479176,0.556076126178559,0.5543494235128125,34364.0
