,precision,recall,f1-score,support
ambiguous,0.45221911235505796,0.29591836734693877,0.3577415783647003,3822.0
negative,0.5380541871921182,0.5673289183222958,0.5523038998799065,7701.0
neutral,0.501018675721562,0.5335382390164527,0.5167673583749234,11062.0
positive,0.6708183565995152,0.6812972238729943,0.676017184735911,11779.0
accuracy,0.5653299965079734,0.5653299965079734,0.5653299965079734,0.5653299965079734
macro avg,0.5405275829670633,0.5195206871396704,0.5257075053388602,34364.0
weighted avg,0.5620933173147812,0.5653299965079734,0.5616304150515872,34364.0
