,precision,recall,f1-score,support
ambiguous,0.4166666666666667,0.23547880690737832,0.3009027081243731,3822.0
negative,0.5292250727320814,0.5196727697701597,0.5244054248837058,7701.0
neutral,0.47838412473423103,0.48815765684324713,0.4832214765100671,11062.0
positive,0.616818930657481,0.6992953561422871,0.6554728842557593,11779.0
accuracy,0.5394890001164009,0.5394890001164009,0.5394890001164009,0.5394890001164009
macro avg,0.5102736986976151,0.4856511474157681,0.49100062344347634,34364.0
weighted avg,0.5303648485954572,0.5394890001164009,0.5312160227064289,34364.0
