,precision,recall,f1-score,support
ambiguous,0.10475792988313856,0.0661745320326918,0.08111164970108257,3793.0
negative,0.22488372093023257,0.24922680412371134,0.23643031784841076,7760.0
neutral,0.32129002814330265,0.38236625328143387,0.34917748202033566,11047.0
positive,0.3385896180215475,0.29413766697864374,0.3148021672813368,11753.0
accuracy,0.287194713707682,0.287194713707682,0.287194713707682,0.287194713707682
macro avg,0.24738032424455533,0.2479763141041202,0.24538040421279145,34353.0
weighted avg,0.28152357069169104,0.287194713707682,0.2823505740330124,34353.0
