,precision,recall,f1-score,support
ambiguous,0.10909822866344605,0.07144740311099394,0.086346981041899,3793.0
negative,0.22284804701848904,0.2345360824742268,0.22854272618823382,7760.0
neutral,0.3182617874736101,0.32750973114872817,0.3228195404862815,11047.0
positive,0.3337116912599319,0.35020845741512807,0.34176111595466435,11753.0
accuracy,0.28600122260064625,0.28600122260064625,0.28600122260064625,0.28600122260064625
macro avg,0.24597993860386924,0.24592541853726924,0.24486759091776966,34353.0
weighted avg,0.2789002969109794,0.28600122260064625,0.28189420178382496,34353.0
