,precision,recall,f1-score,support
ambiguous,0.6209677419354839,0.040293040293040296,0.07567567567567568,3822.0
negative,0.6027771454586842,0.34385144786391375,0.43790309244253345,7701.0
neutral,0.44440590968994936,0.5791900198879045,0.5029239766081872,11062.0
positive,0.5671632039722985,0.7369895576874098,0.6410190142145099,11779.0
accuracy,0.52060295658247,0.52060295658247,0.52060295658247,0.52060295658247
macro avg,0.558828500264104,0.42508101643306706,0.41438043973522654,34364.0
weighted avg,0.541612124881698,0.52060295658247,0.4881687855024112,34364.0
