,precision,recall,f1-score,support
ambiguous,0.11276891047883414,0.0856841550224097,0.09737827715355805,3793.0
negative,0.22138203815728247,0.2452319587628866,0.2326974810467107,7760.0
neutral,0.3207219715376605,0.33457047162125464,0.3274998892384033,11047.0
positive,0.33952955686723635,0.3279162766953118,0.3336218836565097,11753.0
accuracy,0.2846330742584345,0.2846330742584345,0.2846330742584345,0.2846330742584345
macro avg,0.24860061926025334,0.24835071552546567,0.24779938277379543,34353.0
weighted avg,0.28175599205262697,0.2846330742584345,0.2827711563239752,34353.0
