,precision,recall,f1-score,support
ambiguous,0.11092150170648464,0.05141049301344582,0.07025761124121781,3793.0
negative,0.22227349638517152,0.18621134020618557,0.20265058551293738,7760.0
neutral,0.32140663390663393,0.37892640535892097,0.3478044119479872,11047.0
positive,0.3362662586074981,0.37394707734195526,0.3541070781130403,11753.0
accuracy,0.29752860012226007,0.29752860012226007,0.29752860012226007,0.29752860012226007
macro avg,0.24771697265144704,0.24762382898012691,0.24370492170379568,34353.0
weighted avg,0.28085710156615545,0.29752860012226007,0.28652727537246564,34353.0
